vessel_ref_id,name,imo_number,mmsi,flag,owner,operator,vessel_type,loa_m,beam_m,draft_m,gross_tonnage,deadweight_tonnage,engine_power_kw,vessel_age_years,build_year,destination_port,current_port,current_lifecycle_stage,current_lat,current_lon,current_speed_knots,current_heading
VSL-0018,MSC Legacy,6909674,636546688,Liberia,Mediterranean Shipping Company,Mediterranean Shipping Company,Container,213.2,29.1,12.3,35280,40351,32269,4.3,2021,PORT_D,PORT_H,At Sea,-2.568,105.4955,18.8,14
VSL-0019,Hapag-Lloyd Poseidon,1627207,218653755,Germany,Hapag-Lloyd AG,Hapag-Lloyd AG,Bulk Carrier,250.3,42.3,12.79,76555,119308,43620,20.2,2005,PORT_G,PORT_E,At Sea,34.6569,24.2635,13.4,9
VSL-0020,COSCO Shipping Odyssey,9232711,412745299,China,China COSCO Shipping Corporation,China COSCO Shipping Corporation,RoRo,106.3,14.9,9.81,16296,8290,9509,25.2,2000,PORT_B,PORT_B,Berthed,31.2656,32.2933,0.0,159
VSL-0021,NYK Savannah,1491907,432865185,Japan,Nippon Yusen Kaisha,Nippon Yusen Kaisha,Container,185.6,26.3,11.87,87734,94049,67992,4.0,2021,PORT_G,PORT_H,At Sea,4.2531,103.1048,18.3,325
VSL-0022,MOL Falcon,6945317,353737996,Panama,Mitsui O.S.K. Lines,Mitsui O.S.K. Lines,Cruise,273.6,36.9,7.46,64659,20700,58478,8.4,2017,PORT_H,PORT_F,At Sea,22.3903,42.8908,21.0,305
VSL-0023,NYK Falcon,7014361,431495788,Japan,Nippon Yusen Kaisha,Nippon Yusen Kaisha,RoRo,133.2,19.6,6.04,43078,24672,9883,10.2,2015,PORT_F,PORT_F,At Sea,20.3069,48.1307,14.8,128
VSL-0024,Ever Rotterdam,1343526,538082400,Marshall Islands,Evergreen Marine Corporation,Evergreen Marine Corporation,Container,338.7,45.6,11.89,94288,112571,67642,9.4,2016,PORT_C,PORT_H,At Sea,4.3069,104.083,17.5,174
VSL-0025,MSC Star,9413183,357699938,Panama,Mediterranean Shipping Company,Mediterranean Shipping Company,Container,191.3,25.4,15.65,67772,79552,61461,4.1,2021,PORT_H,PORT_E,At Sea,40.5509,31.8864,19.0,156
VSL-0026,COSCO Shipping Atlas,2067973,413034471,China,China COSCO Shipping Corporation,China COSCO Shipping Corporation,Tanker,170.2,27.7,19.56,27129,41763,49323,7.9,2017,PORT_E,PORT_D,At Sea,31.9321,21.9124,12.5,72
VSL-0027,NYK Meridian,8877198,431659401,Japan,Nippon Yusen Kaisha,Nippon Yusen Kaisha,Container,216.5,28.9,11.85,94895,112424,49321,2.7,2022,PORT_A,PORT_E,At Sea,30.6086,24.8138,16.2,89
VSL-0028,ONE Zenith,5125673,564680715,Singapore,Ocean Network Express,Ocean Network Express,Tanker,270.8,45.1,19.08,34697,53506,41339,8.1,2017,PORT_B,PORT_G,At Sea,29.8403,45.5694,15.8,236
VSL-0029,Ever Crown,1093248,538861317,Marshall Islands,Evergreen Marine Corporation,Evergreen Marine Corporation,Bulk Carrier,178.1,27.9,10.17,79297,123878,35016,11.4,2014,PORT_C,PORT_C,Berthed,44.41,8.9343,0.0,260
VSL-0030,NYK Spirit,4658403,432499727,Japan,Nippon Yusen Kaisha,Nippon Yusen Kaisha,RoRo,149.9,21.4,7.93,25472,14232,18049,1.2,2024,PORT_F,PORT_F,At Sea,14.249,37.1535,16.0,233
VSL-0031,Yang Ming Shanghai,6270281,355517187,Panama,Yang Ming Marine Transport Corp,Yang Ming Marine Transport Corp,Feeder,120.9,19.0,6.94,5104,5947,3680,15.5,2010,PORT_C,PORT_G,At Sea,35.5291,53.0504,13.1,135
VSL-0032,NYK Busan,8091342,431161172,Japan,Nippon Yusen Kaisha,Nippon Yusen Kaisha,Bulk Carrier,253.9,40.5,11.9,87400,131496,44093,15.7,2009,PORT_A,PORT_A,At Sea,36.1211,31.7309,14.3,183
VSL-0033,OOCL Jacques Saadé,7923744,477407482,Hong Kong,Orient Overseas Container Line,Orient Overseas Container Line,Bulk Carrier,171.8,26.5,11.19,63103,103613,41700,1.5,2024,PORT_F,PORT_E,At Sea,22.5116,36.3911,14.0,101
VSL-0034,PIL Meridian,4909747,564339421,Singapore,Pacific International Lines,Pacific International Lines,VLCC,368.3,64.8,18.43,110509,178598,81537,2.8,2022,PORT_A,PORT_A,Anchored,31.1809,29.9141,0.0,296
VSL-0035,ONE Amber,2474516,564123685,Singapore,Ocean Network Express,Ocean Network Express,Bulk Carrier,169.7,28.2,13.46,42771,70288,26620,1.8,2023,PORT_G,PORT_A,At Sea,34.5132,33.175,15.9,188
VSL-0036,ZIM Victory,1746120,428047113,Israel,ZIM Integrated Shipping Services,ZIM Integrated Shipping Services,General Cargo,147.2,22.0,7.92,33784,42142,17104,0.9,2024,PORT_C,PORT_C,Approaching,43.8818,9.4853,8.5,276
VSL-0037,MSC Edmonton,3773517,637850643,Liberia,Mediterranean Shipping Company,Mediterranean Shipping Company,Bulk Carrier,261.3,41.8,8.93,50265,83539,13960,5.4,2020,PORT_H,PORT_H,Cargo Operations,1.2818,103.8442,0.0,327
VSL-0038,COSCO Shipping Poseidon,3529045,412284210,China,China COSCO Shipping Corporation,China COSCO Shipping Corporation,General Cargo,82.1,12.1,8.93,13524,19032,4888,6.7,2018,PORT_F,PORT_D,At Sea,45.7898,24.4209,12.3,135
VSL-0039,ZIM Vanguard,8470079,428617711,Israel,ZIM Integrated Shipping Services,ZIM Integrated Shipping Services,Container,343.2,47.7,13.16,94566,101948,44859,12.0,2013,PORT_C,PORT_B,At Sea,28.9436,30.0034,16.3,195
VSL-0040,MOL Emerald,6736572,432615654,Japan,Mitsui O.S.K. Lines,Mitsui O.S.K. Lines,VLCC,342.4,61.1,19.81,128434,230187,65950,9.7,2015,PORT_C,PORT_H,At Sea,2.6029,101.5236,11.9,47
VSL-0041,Hapag-Lloyd Navigator,9494515,229273158,Malta,Hapag-Lloyd AG,Hapag-Lloyd AG,Tanker,286.6,48.1,13.1,29970,50796,17699,25.1,2000,PORT_E,PORT_D,At Sea,43.6095,15.315,15.1,314
VSL-0042,ONE Navigator,2296122,431183667,Japan,Ocean Network Express,Ocean Network Express,General Cargo,135.7,20.4,8.04,28024,39421,13402,0.5,2024,PORT_F,PORT_E,At Sea,31.5166,23.4647,12.7,290
VSL-0043,OOCL Crown,4381567,308497840,Bahamas,Orient Overseas Container Line,Orient Overseas Container Line,General Cargo,168.3,25.7,5.78,31405,41881,3746,0.7,2024,PORT_A,PORT_A,At Sea,35.0079,28.5578,13.2,148
VSL-0044,MOL Navigator,6060715,432969664,Japan,Mitsui O.S.K. Lines,Mitsui O.S.K. Lines,Bulk Carrier,151.2,24.4,12.48,29934,48872,25208,9.7,2015,PORT_A,PORT_F,At Sea,25.0091,37.978,12.0,235
VSL-0045,Ever Singapore,3521811,538552312,Marshall Islands,Evergreen Marine Corporation,Evergreen Marine Corporation,LNG Carrier,337.4,56.4,10.18,129113,63480,59732,7.1,2018,PORT_C,PORT_C,At Sea,39.0382,0.971,19.5,252
VSL-0046,PIL Victory,7177448,563581477,Singapore,Pacific International Lines,Pacific International Lines,Tanker,255.8,44.7,15.37,80664,129331,54692,8.2,2017,PORT_F,PORT_E,At Sea,31.7903,30.4656,15.3,46
VSL-0047,PIL Odyssey,9782077,563518203,Singapore,Pacific International Lines,Pacific International Lines,General Cargo,130.7,20.0,7.31,24401,34574,14877,18.1,2007,PORT_H,PORT_C,At Sea,49.3158,6.1496,11.1,347
VSL-0048,PIL Atlantic,5192547,564291486,Singapore,Pacific International Lines,Pacific International Lines,General Cargo,158.9,23.9,8.24,7306,10216,4417,9.1,2016,PORT_F,PORT_C,At Sea,48.5519,1.2779,13.8,350
VSL-0049,MOL Pearl,3221411,431592962,Japan,Mitsui O.S.K. Lines,Mitsui O.S.K. Lines,Cruise,215.0,30.0,9.01,111188,32512,35820,3.0,2022,PORT_C,PORT_H,At Sea,-0.3135,105.685,20.4,312
VSL-0050,ONE Jacques Saadé,7468861,563392407,Singapore,Ocean Network Express,Ocean Network Express,Bulk Carrier,262.3,42.2,10.69,60390,98623,22378,13.2,2012,PORT_B,PORT_B,Approaching,30.1121,32.1849,7.1,63
VSL-0051,Yang Ming Navigator,6068535,416153051,Taiwan,Yang Ming Marine Transport Corp,Yang Ming Marine Transport Corp,Bulk Carrier,264.5,44.6,9.64,91951,136185,15893,4.6,2020,PORT_F,PORT_C,At Sea,43.6347,12.2158,14.6,71
VSL-0052,OOCL Amber,1434105,308697117,Bahamas,Orient Overseas Container Line,Orient Overseas Container Line,RoRo,156.3,22.2,8.46,41516,24442,8418,1.9,2023,PORT_A,PORT_D,At Sea,35.5846,32.5183,14.6,0
VSL-0053,ZIM Santos,6706541,428515319,Israel,ZIM Integrated Shipping Services,ZIM Integrated Shipping Services,General Cargo,104.1,15.3,7.08,28252,38299,4284,29.4,1996,PORT_F,PORT_C,At Sea,42.068,8.2334,12.4,350
VSL-0054,MSC Santos,8548682,353034505,Panama,Mediterranean Shipping Company,Mediterranean Shipping Company,Tanker,278.2,46.2,15.95,92657,147831,17839,12.0,2013,PORT_F,PORT_G,At Sea,24.552,44.1748,13.1,197
VSL-0055,Hapag-Lloyd Atlantic,8451152,218479627,Germany,Hapag-Lloyd AG,Hapag-Lloyd AG,Bulk Carrier,178.0,27.5,12.15,46224,70782,41891,2.5,2022,PORT_A,PORT_F,At Sea,14.0129,42.419,12.8,29
VSL-0056,MOL Crown,2135562,431927557,Japan,Mitsui O.S.K. Lines,Mitsui O.S.K. Lines,Container,320.3,42.9,12.18,100109,117107,54611,24.4,2001,PORT_C,PORT_F,At Sea,17.9615,34.3515,15.9,127
VSL-0057,COSCO Shipping Pacific,7312177,477715518,Hong Kong,China COSCO Shipping Corporation,China COSCO Shipping Corporation,Feeder,61.8,10.1,4.56,8730,10818,7394,1.0,2024,PORT_E,PORT_C,At Sea,52.5939,4.9096,10.8,260
VSL-0058,ZIM Spirit,1467865,428912517,Israel,ZIM Integrated Shipping Services,ZIM Integrated Shipping Services,Container,396.7,55.5,14.75,43673,49962,45713,3.6,2021,PORT_F,PORT_C,At Sea,46.4474,-1.6553,16.5,327
VSL-0059,CMA CGM Victory,5841435,228842498,France,CMA CGM Group,CMA CGM Group,General Cargo,156.8,24.2,5.65,22600,29554,16023,14.2,2011,PORT_C,PORT_C,At Sea,41.7766,6.3138,13.3,288
VSL-0060,OOCL Britannia,7844730,477471027,Hong Kong,Orient Overseas Container Line,Orient Overseas Container Line,Container,370.0,49.9,10.49,114854,133607,59009,2.5,2022,PORT_H,PORT_D,At Sea,41.2865,27.8805,17.4,163
VSL-0061,COSCO Shipping Star,3469635,413953278,China,China COSCO Shipping Corporation,China COSCO Shipping Corporation,RoRo,203.3,29.4,9.9,12838,7023,16151,6.6,2018,PORT_E,PORT_H,At Sea,3.3909,103.0971,13.2,110
VSL-0062,Maersk Apex,4565060,219983584,Denmark,A.P. Moller-Maersk,A.P. Moller-Maersk,General Cargo,84.9,12.8,6.41,25913,32230,15642,8.9,2016,PORT_H,PORT_E,At Sea,22.6403,25.3805,12.6,312
VSL-0063,ZIM Meridian,8025783,428982595,Israel,ZIM Integrated Shipping Services,ZIM Integrated Shipping Services,Container,394.5,56.2,12.36,99489,108903,38276,22.4,2003,PORT_E,PORT_F,At Sea,14.43,38.7486,16.0,243
VSL-0064,MSC Atlantic,4993097,637289623,Liberia,Mediterranean Shipping Company,Mediterranean Shipping Company,Car Carrier,149.5,23.2,9.35,49236,22823,24592,12.7,2012,PORT_B,PORT_D,At Sea,37.087,25.6564,16.7,77
VSL-0065,ZIM Legacy,7865277,538854973,Marshall Islands,ZIM Integrated Shipping Services,ZIM Integrated Shipping Services,Bulk Carrier,180.6,29.8,11.01,66975,107229,28864,15.1,2010,PORT_E,PORT_E,Berthed,29.9712,32.5445,0.0,152
VSL-0066,Ever Voyager,6524046,538574733,Marshall Islands,Evergreen Marine Corporation,Evergreen Marine Corporation,Car Carrier,176.4,27.9,9.38,30582,14250,21995,6.6,2018,PORT_E,PORT_E,At Sea,27.4496,30.3088,16.2,342
VSL-0067,ZIM Phoenix,7734545,538193802,Marshall Islands,ZIM Integrated Shipping Services,ZIM Integrated Shipping Services,Cruise,236.1,32.1,7.7,54027,15268,49863,5.1,2020,PORT_C,PORT_A,At Sea,21.6493,37.1384,20.5,253
VSL-0068,ONE Discovery,8872875,564315274,Singapore,Ocean Network Express,Ocean Network Express,Container,344.8,48.4,15.23,48946,60147,23798,2.8,2022,PORT_A,PORT_F,At Sea,12.4673,35.0869,17.9,327
VSL-0069,COSCO Shipping Istanbul,6374544,477453017,Hong Kong,China COSCO Shipping Corporation,China COSCO Shipping Corporation,Cruise,332.3,42.7,8.55,52143,15201,65116,1.6,2023,PORT_G,PORT_E,At Sea,24.2397,25.7364,20.3,151
VSL-0070,Yang Ming Busan,3918789,416191088,Taiwan,Yang Ming Marine Transport Corp,Yang Ming Marine Transport Corp,Bulk Carrier,183.1,29.2,13.74,55645,89037,28199,35.0,1990,PORT_C,PORT_C,At Sea,39.1719,8.2569,13.5,298
VSL-0071,PIL Valencia,2640397,563651801,Singapore,Pacific International Lines,Pacific International Lines,Tanker,312.8,52.5,13.9,23118,38504,20937,4.3,2021,PORT_H,PORT_H,Departing,1.2806,103.8482,0.0,69
VSL-0072,PIL Felicity,5128687,563300478,Singapore,Pacific International Lines,Pacific International Lines,RoRo,217.4,33.2,8.58,23553,13797,29842,3.9,2021,PORT_G,PORT_D,At Sea,35.3977,27.3229,16.3,141
VSL-0073,COSCO Shipping Legacy,1907906,412067383,China,China COSCO Shipping Corporation,China COSCO Shipping Corporation,Container,372.5,54.0,14.59,23221,28366,53689,7.6,2017,PORT_A,PORT_C,At Sea,42.6911,15.7558,18.4,163
VSL-0074,Ever Horizon,6870562,357856624,Panama,Evergreen Marine Corporation,Evergreen Marine Corporation,Tanker,291.3,48.7,18.0,39795,64754,54431,34.0,1991,PORT_H,PORT_D,At Sea,34.6512,33.6047,11.5,73
VSL-0075,PIL Endeavor,5183041,564990139,Singapore,Pacific International Lines,Pacific International Lines,Car Carrier,193.2,28.5,9.12,48775,20907,23932,1.2,2024,PORT_D,PORT_H,At Sea,4.7009,101.5951,16.2,108
VSL-0076,COSCO Shipping Emerald,4678544,477587717,Hong Kong,China COSCO Shipping Corporation,China COSCO Shipping Corporation,Feeder,127.3,20.4,4.35,14994,17142,4352,2.2,2023,PORT_F,PORT_D,At Sea,33.0473,26.5781,14.0,288
VSL-0077,COSCO Shipping Constellation,7854773,413252287,China,China COSCO Shipping Corporation,China COSCO Shipping Corporation,LNG Carrier,320.4,52.3,10.03,108731,51723,73361,10.2,2015,PORT_A,PORT_A,At Sea,40.4779,34.5983,18.8,3
VSL-0078,PIL Pacific,7008867,563084840,Singapore,Pacific International Lines,Pacific International Lines,Bulk Carrier,276.4,44.0,9.39,75109,118614,10365,5.6,2019,PORT_G,PORT_C,At Sea,46.9349,10.6766,13.5,76
VSL-0079,COSCO Shipping Edmonton,4101668,413870021,China,China COSCO Shipping Corporation,China COSCO Shipping Corporation,Container,316.4,46.0,11.51,55444,63342,60156,0.7,2024,PORT_G,PORT_F,At Sea,26.2957,33.2169,19.0,21
VSL-0080,ZIM Neptune,2503927,428142939,Israel,ZIM Integrated Shipping Services,ZIM Integrated Shipping Services,Container,378.3,53.5,14.15,76678,85081,35012,20.6,2004,PORT_G,PORT_F,At Sea,21.1141,33.3537,18.1,352
VSL-0081,OOCL Meridian,9477359,309629619,Bahamas,Orient Overseas Container Line,Orient Overseas Container Line,RoRo,160.1,23.2,9.9,9986,5729,17615,14.6,2010,PORT_D,PORT_B,At Sea,32.8567,34.6249,15.2,199
VSL-0082,Yang Ming Emerald,1015818,355956046,Panama,Yang Ming Marine Transport Corp,Yang Ming Marine Transport Corp,Bulk Carrier,166.0,25.8,8.03,41202,60669,24396,2.5,2022,PORT_B,PORT_D,At Sea,41.6767,30.395,12.5,194
VSL-0083,ONE Unity,7993713,431406596,Japan,Ocean Network Express,Ocean Network Express,Container,239.2,32.6,11.61,34593,41581,30025,2.6,2022,PORT_F,PORT_H,At Sea,3.4283,98.9488,19.6,69
VSL-0084,PIL Pearl,5646512,563982807,Singapore,Pacific International Lines,Pacific International Lines,Bulk Carrier,240.5,38.1,12.17,55715,89604,17105,4.1,2021,PORT_D,PORT_D,Berthed,37.9388,23.6358,0.0,354
VSL-0085,Hapag-Lloyd Santos,1797961,256805891,Malta,Hapag-Lloyd AG,Hapag-Lloyd AG,Container,366.5,49.6,14.77,87297,94836,28680,2.9,2022,PORT_D,PORT_F,At Sea,18.707,36.7977,15.8,288
VSL-0086,ZIM Singapore,7567980,428507146,Israel,ZIM Integrated Shipping Services,ZIM Integrated Shipping Services,VLCC,354.2,58.1,19.6,140214,235903,117943,4.5,2020,PORT_B,PORT_B,Berthing,31.2523,32.3088,0.0,72
VSL-0087,Maersk Endurance,1051238,219825867,Denmark,A.P. Moller-Maersk,A.P. Moller-Maersk,Bulk Carrier,201.5,33.2,12.71,59294,91206,23932,0.8,2024,PORT_G,PORT_C,At Sea,42.2848,5.7031,12.7,101
VSL-0088,MOL Sapphire,5537149,432859696,Japan,Mitsui O.S.K. Lines,Mitsui O.S.K. Lines,Tanker,233.0,40.0,9.05,37761,63077,27525,9.7,2015,PORT_F,PORT_F,At Sea,13.751,32.1502,14.7,344
VSL-0089,NYK Star,6929662,431782827,Japan,Nippon Yusen Kaisha,Nippon Yusen Kaisha,RoRo,135.7,19.6,8.46,11135,5814,10946,1.0,2024,PORT_C,PORT_F,At Sea,13.8679,32.0753,17.6,248
VSL-0090,Yang Ming Phoenix,9034042,416842797,Taiwan,Yang Ming Marine Transport Corp,Yang Ming Marine Transport Corp,Container,359.3,49.5,15.78,70543,85536,45758,9.2,2016,PORT_B,PORT_B,At Sea,26.7517,31.0482,15.9,187
VSL-0091,COSCO Shipping Endurance,7451715,412395962,China,China COSCO Shipping Corporation,China COSCO Shipping Corporation,Tanker,288.7,49.3,17.36,58605,99076,24834,4.4,2021,PORT_D,PORT_D,At Sea,28.8445,19.3548,12.5,86
VSL-0092,MOL Santos,6422327,357367294,Panama,Mitsui O.S.K. Lines,Mitsui O.S.K. Lines,Bulk Carrier,255.6,42.0,9.74,37724,54685,44320,33.9,1991,PORT_G,PORT_H,At Sea,2.052,101.2023,12.7,47
VSL-0093,NYK Endeavor,5186366,431745458,Japan,Nippon Yusen Kaisha,Nippon Yusen Kaisha,Bulk Carrier,262.5,42.7,12.17,89571,147030,28187,5.4,2020,PORT_H,PORT_F,At Sea,22.3316,28.2709,15.2,235
VSL-0094,PIL Endurance,4154158,563064361,Singapore,Pacific International Lines,Pacific International Lines,Container,384.5,56.0,10.95,65651,80444,69608,4.5,2020,PORT_A,PORT_D,At Sea,42.4887,28.6516,18.3,115
VSL-0095,Maersk Rotterdam,1554266,219218909,Denmark,A.P. Moller-Maersk,A.P. Moller-Maersk,Tanker,235.7,40.0,9.09,49608,81561,20426,15.7,2009,PORT_H,PORT_F,At Sea,15.0949,32.5324,14.1,351
VSL-0096,MOL Spirit,4138996,432043898,Japan,Mitsui O.S.K. Lines,Mitsui O.S.K. Lines,Tanker,196.9,32.3,18.86,30881,50378,20542,10.5,2014,PORT_G,PORT_E,At Sea,31.7536,24.2784,14.5,122
VSL-0097,CMA CGM Constellation,5827104,538043006,Marshall Islands,CMA CGM Group,CMA CGM Group,Tanker,179.2,31.3,14.5,72641,128179,38772,30.4,1995,PORT_G,PORT_G,At Sea,32.8454,59.5245,11.7,142
VSL-0098,PIL Jacques Saadé,4630310,564179904,Singapore,Pacific International Lines,Pacific International Lines,Container,197.4,27.7,15.53,117431,140733,29458,3.2,2022,PORT_C,PORT_B,At Sea,32.6441,33.9146,17.6,5
VSL-0099,Maersk Yokohama,5648144,219778507,Denmark,A.P. Moller-Maersk,A.P. Moller-Maersk,Container,389.7,52.1,13.14,98298,118127,56596,1.5,2024,PORT_C,PORT_C,Approaching,44.3862,9.6708,11.3,59
VSL-0100,MSC Emerald,3536543,636951802,Liberia,Mediterranean Shipping Company,Mediterranean Shipping Company,Container,291.9,40.1,10.26,106292,115392,33738,5.1,2020,PORT_A,PORT_G,At Sea,22.3852,55.6451,18.6,144
VSL-0101,COSCO Shipping Eagle,9738325,477603850,Hong Kong,China COSCO Shipping Corporation,China COSCO Shipping Corporation,Car Carrier,144.9,22.6,8.17,29356,13717,19222,2.8,2022,PORT_A,PORT_A,Berthed,31.2052,29.9175,0.0,157
VSL-0102,COSCO Shipping Amber,5719187,477619906,Hong Kong,China COSCO Shipping Corporation,China COSCO Shipping Corporation,Container,296.6,42.1,11.43,69202,74400,24874,35.0,1990,PORT_C,PORT_D,At Sea,40.8528,19.6789,17.8,167
VSL-0103,Yang Ming Victory,1853741,354411249,Panama,Yang Ming Marine Transport Corp,Yang Ming Marine Transport Corp,Bulk Carrier,190.8,29.7,8.45,32230,47274,41197,7.0,2018,PORT_F,PORT_C,At Sea,44.4426,11.8419,13.3,182
VSL-0104,ZIM Liberty,7121009,428236519,Israel,ZIM Integrated Shipping Services,ZIM Integrated Shipping Services,Bulk Carrier,157.3,26.3,9.79,84707,132471,16954,24.3,2001,PORT_B,PORT_A,At Sea,35.06,41.2523,12.2,47
VSL-0105,Hapag-Lloyd Pearl,6625321,218472099,Germany,Hapag-Lloyd AG,Hapag-Lloyd AG,Cruise,332.7,44.7,7.99,45977,14503,55744,1.5,2024,PORT_E,PORT_H,At Sea,-4.5222,101.9337,19.5,31
VSL-0106,MSC Constellation,7875985,637642059,Liberia,Mediterranean Shipping Company,Mediterranean Shipping Company,Container,264.3,38.5,12.52,84265,97582,60265,2.3,2023,PORT_E,PORT_A,At Sea,21.2727,31.7051,17.1,119
VSL-0107,COSCO Shipping Neptune,5223956,477905992,Hong Kong,China COSCO Shipping Corporation,China COSCO Shipping Corporation,VLCC,308.0,50.7,20.63,101322,191396,108977,19.9,2005,PORT_D,PORT_H,At Sea,4.636,110.4741,13.4,19
VSL-0108,NYK Atlas,9029217,432156915,Japan,Nippon Yusen Kaisha,Nippon Yusen Kaisha,Container,231.2,31.2,11.31,72644,78602,22032,20.0,2005,PORT_C,PORT_C,At Sea,35.8104,12.5321,16.7,162
VSL-0109,CMA CGM Atlas,9690298,227939172,France,CMA CGM Group,CMA CGM Group,Container,393.1,55.1,14.16,112884,123073,59775,2.0,2023,PORT_B,PORT_D,At Sea,35.6268,28.5947,17.1,325
VSL-0110,Maersk Navigator,1006764,563676586,Singapore,A.P. Moller-Maersk,A.P. Moller-Maersk,Cruise,214.2,27.9,9.13,129474,37286,74899,4.7,2020,PORT_H,PORT_D,At Sea,41.1845,25.2602,21.3,163
VSL-0111,ONE Atlantic,1629621,563533688,Singapore,Ocean Network Express,Ocean Network Express,Bulk Carrier,165.7,27.9,10.05,90474,150961,16436,0.6,2024,PORT_E,PORT_E,At Sea,34.1344,33.8926,13.3,292
VSL-0112,Maersk Glory,2417142,220774186,Denmark,A.P. Moller-Maersk,A.P. Moller-Maersk,Tanker,243.5,41.1,9.6,18351,30184,18943,13.9,2011,PORT_G,PORT_F,At Sea,25.2049,40.2496,12.9,137
VSL-0113,MSC Savannah,8687933,637416089,Liberia,Mediterranean Shipping Company,Mediterranean Shipping Company,Tanker,185.7,30.7,16.66,26896,46199,45066,13.2,2012,PORT_C,PORT_C,Anchored,44.372,8.9557,0.0,88
